"sales_id","order_id","order_date","year","month","month_name","quarter","year_month","product_id","product_name","category","customer_id","customer_name","segment","region_id","region_name","country","units","sales_amount","cost_amount","profit_margin"
"1","CA-2016-152156","2016-11-08",2016,11,"Nov",4,"2016-11","FUR-BO-10001798","Bush Somerset Collection Bookcase","Furniture","CG-12520","Claire Gute","Consumer","REG-SOUTH","South","United States",2,"261.96","220.05","0.15998625744388456253"
"2","CA-2016-152156","2016-11-08",2016,11,"Nov",4,"2016-11","FUR-CH-10000454","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","Furniture","CG-12520","Claire Gute","Consumer","REG-SOUTH","South","United States",3,"731.94","512.36","0.29999726753559034894"
"3","CA-2016-138688","2016-06-12",2016,6,"Jun",2,"2016-06","OFF-LA-10000240","Self-Adhesive Address Labels for Typewriters by Universal","Office Supplies","DV-13045","Darrin Van Huff","Corporate","REG-WEST","West","United States",2,"14.62","7.75","0.46990424076607387141"
"4","US-2015-108966","2015-10-11",2015,10,"Oct",4,"2015-10","FUR-TA-10000577","Bretford CR4500 Series Slim Rectangular Table","Furniture","SO-20335","Sean O'Donnell","Consumer","REG-SOUTH","South","United States",5,"957.58","1340.61","-0.39999791140165834708"
"5","US-2015-108966","2015-10-11",2015,10,"Oct",4,"2015-10","OFF-ST-10000760","Eldon Fold 'N Roll Cart System","Office Supplies","SO-20335","Sean O'Donnell","Consumer","REG-SOUTH","South","United States",2,"22.37","19.85","0.11265087170317389361"
"6","CA-2014-115812","2014-06-09",2014,6,"Jun",2,"2014-06","FUR-FU-10001487","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","Furniture","BH-11710","Brosina Hoffman","Consumer","REG-WEST","West","United States",7,"48.86","34.69","0.29001227998362668850"
"7","CA-2014-115812","2014-06-09",2014,6,"Jun",2,"2014-06","OFF-AR-10002833","Newell 322","Office Supplies","BH-11710","Brosina Hoffman","Consumer","REG-WEST","West","United States",4,"7.28","5.31","0.27060439560439560440"
"8","CA-2014-115812","2014-06-09",2014,6,"Jun",2,"2014-06","TEC-PH-10002275","Mitel 5320 IP Phone VoIP phone","Technology","BH-11710","Brosina Hoffman","Consumer","REG-WEST","West","United States",6,"907.15","816.44","0.09999448823237612302"
"9","CA-2014-115812","2014-06-09",2014,6,"Jun",2,"2014-06","OFF-BI-10003910","DXL Angle-View Binders with Locking Rings by Samsill","Office Supplies","BH-11710","Brosina Hoffman","Consumer","REG-WEST","West","United States",3,"18.50","12.72","0.31243243243243243243"
"10","CA-2014-115812","2014-06-09",2014,6,"Jun",2,"2014-06","OFF-AP-10002892","Belkin F5C206VTEL 6 Outlet Surge","Office Supplies","BH-11710","Brosina Hoffman","Consumer","REG-WEST","West","United States",5,"114.90","80.43","0.30000000000000000000"
"11","CA-2014-115812","2014-06-09",2014,6,"Jun",2,"2014-06","FUR-TA-10001539","Chromcraft Rectangular Conference Tables","Furniture","BH-11710","Brosina Hoffman","Consumer","REG-WEST","West","United States",9,"1706.18","1620.87","0.05000058610463139880"
"12","CA-2014-115812","2014-06-09",2014,6,"Jun",2,"2014-06","TEC-PH-10002033","Konftel 250 Conference phone - Charcoal black","Technology","BH-11710","Brosina Hoffman","Consumer","REG-WEST","West","United States",4,"911.42","843.07","0.07499286827148844660"
